time,local atmospheric pressure (hPa),sea level pressure (hPa),precipitation (mm),temperature (℃),relative humidity,average wind speed (m/s),average wind direction,max wind speed (m/s),max wind direction,sunshine (minutes)
2024-03-09 00:10:00+09:00,1003.3,1006.3,--,3.3,96,1.1,W,1.7,WSW,
2024-03-09 00:20:00+09:00,1003.5,1006.5,--,3.4,96,1.1,W,1.4,W,
2024-03-09 00:30:00+09:00,1003.7,1006.7,--,3.5,96,1.6,WNW,2.0,NW,
2024-03-09 00:40:00+09:00,1003.7,1006.7,--,3.9,97,2.1,NW,2.6,NW,
2024-03-09 00:50:00+09:00,1003.8,1006.8,--,3.9,96,1.8,NW,2.1,WNW,
2024-03-09 01:00:00+09:00,1003.7,1006.7,--,4.1,96,2.0,NW,2.4,NW,
2024-03-09 01:10:00+09:00,1003.7,1006.7,--,3.8,96,1.3,NW,2.0,NW,
2024-03-09 01:20:00+09:00,1003.6,1006.6,--,4.1,96,2.2,NW,3.3,NW,
2024-03-09 01:30:00+09:00,1003.6,1006.6,--,4.0,95,2.3,NW,3.4,NW,
2024-03-09 01:40:00+09:00,1003.6,1006.6,--,4.0,96,1.5,NW,2.4,NW,
2024-03-09 01:50:00+09:00,1003.5,1006.5,--,3.8,96,1.0,NW,1.4,WNW,
2024-03-09 02:00:00+09:00,1003.6,1006.6,--,3.6,96,0.7,NW,1.3,W,
2024-03-09 02:10:00+09:00,1003.5,1006.5,--,3.6,97,1.0,NNW,1.4,NNE,
2024-03-09 02:20:00+09:00,1003.4,1006.4,--,3.5,97,1.3,NNE,2.0,NNE,
2024-03-09 02:30:00+09:00,1003.4,1006.4,--,3.7,97,1.5,NNE,2.3,NNE,
2024-03-09 02:40:00+09:00,1003.3,1006.3,--,4.1,96,1.7,NNE,2.4,NNE,
2024-03-09 02:50:00+09:00,1003.2,1006.2,--,3.6,97,1.1,N,2.4,N,
2024-03-09 03:00:00+09:00,1003.2,1006.2,--,3.7,97,0.7,N,1.9,NW,
2024-03-09 03:10:00+09:00,1003.3,1006.3,--,3.4,97,1.5,NNE,2.6,NNE,
2024-03-09 03:20:00+09:00,1003.4,1006.4,--,4.2,95,1.2,N,2.2,NNW,
2024-03-09 03:30:00+09:00,1003.5,1006.5,--,3.8,93,1.6,N,2.9,NNW,
2024-03-09 03:40:00+09:00,1003.5,1006.5,--,3.5,95,1.1,N,2.3,NNW,
2024-03-09 03:50:00+09:00,1003.4,1006.4,--,3.2,95,0.9,NE,1.5,ENE,
2024-03-09 04:00:00+09:00,1003.3,1006.3,--,2.9,96,1.1,NNE,1.7,NE,
2024-03-09 04:10:00+09:00,1003.4,1006.4,--,2.9,97,1.0,NNW,1.6,NW,
2024-03-09 04:20:00+09:00,1003.6,1006.6,--,3.6,97,1.9,NNW,3.1,NNW,
2024-03-09 04:30:00+09:00,1003.8,1006.8,--,3.9,95,2.3,N,3.7,N,
2024-03-09 04:40:00+09:00,1004.0,1007.0,--,3.9,95,1.4,N,2.2,NNE,
2024-03-09 04:50:00+09:00,1004.1,1007.1,--,3.8,95,1.3,NNE,2.1,NE,
2024-03-09 05:00:00+09:00,1004.1,1007.1,--,3.7,96,0.7,WNW,1.6,N,
2024-03-09 05:10:00+09:00,1004.2,1007.2,--,3.6,95,1.5,WNW,2.2,NW,
2024-03-09 05:20:00+09:00,1004.2,1007.2,--,3.4,94,2.5,NW,3.6,NNW,
2024-03-09 05:30:00+09:00,1004.3,1007.3,--,3.4,94,2.9,NW,4.2,NW,
2024-03-09 05:40:00+09:00,1004.5,1007.5,--,3.2,94,2.1,NW,3.0,NW,
2024-03-09 05:50:00+09:00,1004.8,1007.8,--,3.0,94,1.4,NW,3.5,WNW,
2024-03-09 06:00:00+09:00,1004.9,1007.9,--,3.5,93,2.0,NW,3.7,NNW,
2024-03-09 06:10:00+09:00,1005.0,1008.0,--,3.2,94,0.9,NW,1.8,WNW,0
2024-03-09 06:20:00+09:00,1005.1,1008.1,--,3.3,95,1.1,NW,2.1,NW,0
2024-03-09 06:30:00+09:00,1005.3,1008.3,--,3.5,94,1.6,NNW,3.3,NNW,0
2024-03-09 06:40:00+09:00,1005.3,1008.3,--,3.1,93,2.7,NW,4.4,WNW,0
2024-03-09 06:50:00+09:00,1005.3,1008.3,--,2.9,93,2.1,NW,3.5,WNW,1
2024-03-09 07:00:00+09:00,1005.2,1008.2,--,2.7,94,1.1,NNE,2.3,NW,10
2024-03-09 07:10:00+09:00,1005.3,1008.3,--,3.5,88,1.3,NW,2.5,NW,10
2024-03-09 07:20:00+09:00,1005.4,1008.4,--,3.7,85,1.3,NW,2.7,W,10
